"indic_ur,cities\time","2019 ","2018 ","2017 ","2016 ","2015 ","2014 ","2013 ","2012 ","2011 ","2010 ","2009 ","2008 ","2007 ","2006 ","2005 ","2004 ","2003 ","2002 ","2001 ","2000 ","1999 ","1998 ","1997 ","1996 ","1995 ","1994 ","1993 ","1992 ","1991 ","1990 "
"EN5201V,DE508L0",": ",": ",": ",": ",": ",": ",": ","22.1 ",": ",": ",": ",": ",": ",": ",": ",": ",": ",": ",": ",": ",": ",": ",": ",": ",": ",": ",": ",": ",": ",": "
"EN5201V,DE513L1",": ",": ",": ",": ",": ",": ",": ","7.5 ",": ",": ",": ",": ",": ",": ",": ",": ",": ",": ",": ",": ",": ",": ",": ",": ",": ",": ",": ",": ",": ",": "
"EN5201V,DE517L1",": ",": ",": ",": ",": ",": ",": ","6.2 ",": ",": ",": ",": ",": ",": ",": ",": ",": ",": ",": ",": ",": ",": ",": ",": ",": ",": ",": ",": ",": ",": "
"EN5201V,DE520L1",": ",": ",": ",": ",": ",": ",": ","8.6 ",": ",": ",": ",": ",": ",": ",": ",": ",": ",": ",": ",": ",": ",": ",": ",": ",": ",": ",": ",": ",": ",": "
"EN5201V,DE522L1",": ",": ",": ",": ",": ",": ",": ","7.2 ",": ",": ",": ",": ",": ",": ",": ",": ",": ",": ",": ",": ",": ",": ",": ",": ",": ",": ",": ",": ",": ",": "
"EN5201V,DE524L2",": ",": ",": ",": ",": ",": ",": ","4.1 ",": ",": ",": ",": ",": ",": ",": ",": ",": ",": ",": ",": ",": ",": ",": ",": ",": ",": ",": ",": ",": ",": "
"EN5201V,DE527L1",": ",": ",": ",": ",": ",": ",": ","5.0 ",": ",": ",": ",": ",": ",": ",": ",": ",": ",": ",": ",": ",": ",": ",": ",": ",": ",": ",": ",": ",": ",": "
"EN5201V,DE529L1",": ",": ",": ",": ",": ",": ",": ","6.6 ",": ",": ",": ",": ",": ",": ",": ",": ",": ",": ",": ",": ",": ",": ",": ",": ",": ",": ",": ",": ",": ",": "
"EN5201V,DE530L0",": ",": ",": ",": ",": ",": ",": ","21.0 ",": ",": ",": ",": ",": ",": ",": ",": ",": ",": ",": ",": ",": ",": ",": ",": ",": ",": ",": ",": ",": ",": "
"EN5201V,DE532L1",": ",": ",": ",": ",": ",": ",": ","5.1 ",": ",": ",": ",": ",": ",": ",": ",": ",": ",": ",": ",": ",": ",": ",": ",": ",": ",": ",": ",": ",": ",": "
"EN5201V,DE533L1",": ",": ",": ",": ",": ",": ",": ","7.7 ",": ",": ",": ",": ",": ",": ",": ",": ",": ",": ",": ",": ",": ",": ",": ",": ",": ",": ",": ",": ",": ",": "
"EN5201V,DE534L1",": ",": ",": ",": ",": ",": ",": ","5.4 ",": ",": ",": ",": ",": ",": ",": ",": ",": ",": ",": ",": ",": ",": ",": ",": ",": ",": ",": ",": ",": ",": "
"EN5201V,DE535L1",": ",": ",": ",": ",": ",": ",": ","6.6 ",": ",": ",": ",": ",": ",": ",": ",": ",": ",": ",": ",": ",": ",": ",": ",": ",": ",": ",": ",": ",": ",": "
"EN5201V,DE539L1",": ",": ",": ",": ",": ",": ",": ","4.9 ",": ",": ",": ",": ",": ",": ",": ",": ",": ",": ",": ",": ",": ",": ",": ",": ",": ",": ",": ",": ",": ",": "
"EN5201V,DE542L1",": ",": ",": ",": ",": ",": ",": ","6.4 ",": ",": ",": ",": ",": ",": ",": ",": ",": ",": ",": ",": ",": ",": ",": ",": ",": ",": ",": ",": ",": ",": "
"EN5201V,DE544L1",": ",": ",": ",": ",": ",": ",": ","11.8 ",": ",": ",": ",": ",": ",": ",": ",": ",": ",": ",": ",": ",": ",": ",": ",": ",": ",": ",": ",": ",": ",": "
"EN5201V,DE546L0",": ",": ",": ",": ",": ",": ",": ","22.4 ",": ",": ",": ",": ",": ",": ",": ",": ",": ",": ",": ",": ",": ",": ",": ",": ",": ",": ",": ",": ",": ",": "
"EN5201V,DE547L2",": ",": ",": ",": ",": ",": ",": ","3.7 ",": ",": ",": ",": ",": ",": ",": ",": ",": ",": ",": ",": ",": ",": ",": ",": ",": ",": ",": ",": ",": ",": "
"EN5201V,EE002L1",": ",": ",": ",": ",": ",": ",": ","2.7 ",": ",": ",": ",": ",": ",": ",": ",": ",": ",": ",": ",": ",": ",": ",": ",": ",": ",": ",": ",": ",": ",": "
"EN5201V,EL002L1",": ",": ",": ",": ",": ",": ",": ","4.8 ",": ",": ",": ",": ",": ",": ",": ",": ",": ",": ",": ",": ",": ",": ",": ",": ",": ",": ",": ",": ",": ",": "
"EN5201V,EL005L1",": ",": ",": ",": ",": ",": ",": ","2.0 ",": ",": ",": ",": ",": ",": ",": ",": ",": ",": ",": ",": ",": ",": ",": ",": ",": ",": ",": ",": ",": ",": "
"EN5201V,ES",": ",": ",": ",": ",": ","1.1 ",": ",": ",": ",": ",": ",": ",": ",": ",": ",": ",": ",": ",": ",": ",": ",": ",": ",": ",": ",": ",": ",": ",": ",": "
"EN5201V,ES004L3",": ",": ",": ",": ",": ",": ",": ","2.7 ",": ",": ",": ",": ",": ",": ",": ",": ",": ",": ",": ",": ",": ",": ",": ",": ",": ",": ",": ",": ",": ",": "
"EN5201V,ES008L2",": ",": ",": ",": ",": ",": ",": ","5.6 ",": ",": ",": ",": ",": ",": ",": ",": ",": ",": ",": ",": ",": ",": ",": ",": ",": ",": ",": ",": ",": ",": "
"EN5201V,ES009L2",": ",": ",": ",": ",": ",": ",": ","2.7 ",": ",": ",": ",": ",": ",": ",": ",": ",": ",": ",": ",": ",": ",": ",": ",": ",": ",": ",": ",": ",": ",": "
"EN5201V,ES013L2",": ",": ",": ",": ",": ",": ",": ","6.4 ",": ",": ",": ",": ",": ",": ",": ",": ",": ",": ",": ",": ",": ",": ",": ",": ",": ",": ",": ",": ",": ",": "
"EN5201V,ES014L3",": ",": ",": ",": ",": ",": ",": ","1.8 ",": ",": ",": ",": ",": ",": ",": ",": ",": ",": ",": ",": ",": ",": ",": ",": ",": ",": ",": ",": ",": ",": "
"EN5201V,ES074L0",": ",": ",": ",": ",": ",": ",": ","2.3 ",": ",": ",": ",": ",": ",": ",": ",": ",": ",": ",": ",": ",": ",": ",": ",": ",": ",": ",": ",": ",": ",": "
"EN5201V,ES519L1",": ",": ",": ",": ",": ",": ",": ","0.9 ",": ",": ",": ",": ",": ",": ",": ",": ",": ",": ",": ",": ",": ",": ",": ",": ",": ",": ",": ",": ",": ",": "
"EN5201V,FI004L4",": ",": ",": ",": ",": ",": ",": ","2.3 ",": ",": ",": ",": ",": ",": ",": ",": ",": ",": ",": ",": ",": ",": ",": ",": ",": ",": ",": ",": ",": ",": "
"EN5201V,FR001L1",": ",": ",": ",": ",": ",": ",": ","9.7 ",": ",": ",": ",": ",": ",": ",": ",": ",": ",": ",": ",": ",": ",": ",": ",": ",": ",": ",": ",": ",": ",": "
"EN5201V,FR003L2",": ",": ",": ",": ",": ",": ",": ","11.3 ",": ",": ",": ",": ",": ",": ",": ",": ",": ",": ",": ",": ",": ",": ",": ",": ",": ",": ",": ",": ",": ",": "
"EN5201V,FR004L2",": ",": ",": ",": ",": ",": ",": ","10.1 ",": ",": ",": ",": ",": ",": ",": ",": ",": ",": ",": ",": ",": ",": ",": ",": ",": ",": ",": ",": ",": ",": "
"EN5201V,FR006L2",": ",": ",": ",": ",": ",": ",": ","6.6 ",": ",": ",": ",": ",": ",": ",": ",": ",": ",": ",": ",": ",": ",": ",": ",": ",": ",": ",": ",": ",": ",": "
"EN5201V,FR008L2",": ",": ",": ",": ",": ",": ",": ","9.3 ",": ",": ",": ",": ",": ",": ",": ",": ",": ",": ",": ",": ",": ",": ",": ",": ",": ",": ",": ",": ",": ",": "
"EN5201V,FR012L2",": ",": ",": ",": ",": ",": ",": ","9.2 ",": ",": ",": ",": ",": ",": ",": ",": ",": ",": ",": ",": ",": ",": ",": ",": ",": ",": ",": ",": ",": ",": "
"EN5201V,FR014L2",": ",": ",": ",": ",": ",": ",": ","4.1 ",": ",": ",": ",": ",": ",": ",": ",": ",": ",": ",": ",": ",": ",": ",": ",": ",": ",": ",": ",": ",": ",": "
"EN5201V,FR016L2",": ",": ",": ",": ",": ",": ",": ","3.7 ",": ",": ",": ",": ",": ",": ",": ",": ",": ",": ",": ",": ",": ",": ",": ",": ",": ",": ",": ",": ",": ",": "
"EN5201V,FR017L2",": ",": ",": ",": ",": ",": ",": ","4.7 ",": ",": ",": ",": ",": ",": ",": ",": ",": ",": ",": ",": ",": ",": ",": ",": ",": ",": ",": ",": ",": ",": "
"EN5201V,FR019L2",": ",": ",": ",": ",": ",": ",": ","4.7 ",": ",": ",": ",": ",": ",": ",": ",": ",": ",": ",": ",": ",": ",": ",": ",": ",": ",": ",": ",": ",": ",": "
"EN5201V,FR037L2",": ",": ",": ",": ",": ",": ",": ","9.3 ",": ",": ",": ",": ",": ",": ",": ",": ",": ",": ",": ",": ",": ",": ",": ",": ",": ",": ",": ",": ",": ",": "
"EN5201V,FR040L2",": ",": ",": ",": ",": ",": ",": ","7.6 ",": ",": ",": ",": ",": ",": ",": ",": ",": ",": ",": ",": ",": ",": ",": ",": ",": ",": ",": ",": ",": ",": "
"EN5201V,FR042L2",": ",": ",": ",": ",": ",": ",": ","8.4 ",": ",": ",": ",": ",": ",": ",": ",": ",": ",": ",": ",": ",": ",": ",": ",": ",": ",": ",": ",": ",": ",": "
"EN5201V,FR044L2",": ",": ",": ",": ",": ",": ",": ","7.3 ",": ",": ",": ",": ",": ",": ",": ",": ",": ",": ",": ",": ",": ",": ",": ",": ",": ",": ",": ",": ",": ",": "
"EN5201V,FR047L0",": ",": ",": ",": ",": ",": ",": ","23.0 ",": ",": ",": ",": ",": ",": ",": ",": ",": ",": ",": ",": ",": ",": ",": ",": ",": ",": ",": ",": ",": ",": "
"EN5201V,FR049L2",": ",": ",": ",": ",": ",": ",": ","7.9 ",": ",": ",": ",": ",": ",": ",": ",": ",": ",": ",": ",": ",": ",": ",": ",": ",": ",": ",": ",": ",": ",": "
"EN5201V,FR050L2",": ",": ",": ",": ",": ",": ",": ","5.7 ",": ",": ",": ",": ",": ",": ",": ",": ",": ",": ",": ",": ",": ",": ",": ",": ",": ",": ",": ",": ",": ",": "
"EN5201V,FR051L2",": ",": ",": ",": ",": ",": ",": ","3.5 ",": ",": ",": ",": ",": ",": ",": ",": ",": ",": ",": ",": ",": ",": ",": ",": ",": ",": ",": ",": ",": ",": "
"EN5201V,FR052L2",": ",": ",": ",": ",": ",": ",": ","12.6 ",": ",": ",": ",": ",": ",": ",": ",": ",": ",": ",": ",": ",": ",": ",": ",": ",": ",": ",": ",": ",": ",": "
"EN5201V,FR053L2",": ",": ",": ",": ",": ",": ",": ","6.1 ",": ",": ",": ",": ",": ",": ",": ",": ",": ",": ",": ",": ",": ",": ",": ",": ",": ",": ",": ",": ",": ",": "
"EN5201V,FR059L2",": ",": ",": ",": ",": ",": ",": ","5.9 ",": ",": ",": ",": ",": ",": ",": ",": ",": ",": ",": ",": ",": ",": ",": ",": ",": ",": ",": ",": ",": ",": "
"EN5201V,FR060L2",": ",": ",": ",": ",": ",": ",": ","4.6 ",": ",": ",": ",": ",": ",": ",": ",": ",": ",": ",": ",": ",": ",": ",": ",": ",": ",": ",": ",": ",": ",": "
"EN5201V,FR064L2",": ",": ",": ",": ",": ",": ",": ","6.8 ",": ",": ",": ",": ",": ",": ",": ",": ",": ",": ",": ",": ",": ",": ",": ",": ",": ",": ",": ",": ",": ",": "
"EN5201V,FR069L2",": ",": ",": ",": ",": ",": ",": ","7.5 ",": ",": ",": ",": ",": ",": ",": ",": ",": ",": ",": ",": ",": ",": ",": ",": ",": ",": ",": ",": ",": ",": "
"EN5201V,FR074L2",": ",": ",": ",": ",": ",": ",": ","5.6 ",": ",": ",": ",": ",": ",": ",": ",": ",": ",": ",": ",": ",": ",": ",": ",": ",": ",": ",": ",": ",": ",": "
"EN5201V,FR079L2",": ",": ",": ",": ",": ",": ",": ","4.7 ",": ",": ",": ",": ",": ",": ",": ",": ",": ",": ",": ",": ",": ",": ",": ",": ",": ",": ",": ",": ",": ",": "
"EN5201V,FR082L2",": ",": ",": ",": ",": ",": ",": ","5.3 ",": ",": ",": ",": ",": ",": ",": ",": ",": ",": ",": ",": ",": ",": ",": ",": ",": ",": ",": ",": ",": ",": "
"EN5201V,FR086L2",": ",": ",": ",": ",": ",": ",": ","5.4 ",": ",": ",": ",": ",": ",": ",": ",": ",": ",": ",": ",": ",": ",": ",": ",": ",": ",": ",": ",": ",": ",": "
"EN5201V,FR090L2",": ",": ",": ",": ",": ",": ",": ","3.3 ",": ",": ",": ",": ",": ",": ",": ",": ",": ",": ",": ",": ",": ",": ",": ",": ",": ",": ",": ",": ",": ",": "
"EN5201V,FR104L2",": ",": ",": ",": ",": ",": ",": ","1.8 ",": ",": ",": ",": ",": ",": ",": ",": ",": ",": ",": ",": ",": ",": ",": ",": ",": ",": ",": ",": ",": ",": "
"EN5201V,FR304L1",": ",": ",": ",": ",": ",": ",": ","6.9 ",": ",": ",": ",": ",": ",": ",": ",": ",": ",": ",": ",": ",": ",": ",": ",": ",": ",": ",": ",": ",": ",": "
"EN5201V,HR003L2",": ",": ",": ",": ",": ",": ",": ","4.3 ",": ",": ",": ",": ",": ",": ",": ",": ",": ",": ",": ",": ",": ",": ",": ",": ",": ",": ",": ",": ",": ",": "
"EN5201V,HR004L2",": ",": ",": ",": ",": ",": ",": ","3.8 ",": ",": ",": ",": ",": ",": ",": ",": ",": ",": ",": ",": ",": ",": ",": ",": ",": ",": ",": ",": ",": ",": "
"EN5201V,HU001L2",": ",": ",": ",": ",": ",": ",": ","9.0 ",": ",": ",": ",": ",": ",": ",": ",": ",": ",": ",": ",": ",": ",": ",": ",": ",": ",": ",": ",": ",": ",": "
"EN5201V,HU008L2",": ",": ",": ",": ",": ",": ",": ","4.6 ",": ",": ",": ",": ",": ",": ",": ",": ",": ",": ",": ",": ",": ",": ",": ",": ",": ",": ",": ",": ",": ",": "
"EN5201V,IT001L3",": ",": ",": ",": ",": ",": ",": ","11.6 ",": ",": ",": ",": ",": ",": ",": ",": ",": ",": ",": ",": ",": ",": ",": ",": ",": ",": ",": ",": ",": ",": "
"EN5201V,IT004L2",": ",": ",": ",": ",": ",": ",": ","10.2 ",": ",": ",": ",": ",": ",": ",": ",": ",": ",": ",": ",": ",": ",": ",": ",": ",": ",": ",": ",": ",": ",": "
"EN5201V,IT012L3",": ",": ",": ",": ",": ",": ",": ","10.2 ",": ",": ",": ",": ",": ",": ",": ",": ",": ",": ",": ",": ",": ",": ",": ",": ",": ",": ",": ",": ",": ",": "
"EN5201V,IT017L3",": ",": ",": ",": ",": ",": ",": ","9.4 ",": ",": ",": ",": ",": ",": ",": ",": ",": ",": ",": ",": ",": ",": ",": ",": ",": ",": ",": ",": ",": ",": "
"EN5201V,IT025L3",": ",": ",": ",": ",": ",": ",": ","5.3 ",": ",": ",": ",": ",": ",": ",": ",": ",": ",": ",": ",": ",": ",": ",": ",": ",": ",": ",": ",": ",": ",": "
"EN5201V,IT054L1",": ",": ",": ",": ",": ",": ",": ","1.7 ",": ",": ",": ",": ",": ",": ",": ",": ",": ",": ",": ",": ",": ",": ",": ",": ",": ",": ",": ",": ",": ",": "
"EN5201V,IT056L1",": ",": ",": ",": ",": ",": ",": ","25.3 ",": ",": ",": ",": ",": ",": ",": ",": ",": ",": ",": ",": ",": ",": ",": ",": ",": ",": ",": ",": ",": ",": "
"EN5201V,IT511L2",": ",": ",": ",": ",": ",": ",": ","18.6 ",": ",": ",": ",": ",": ",": ",": ",": ",": ",": ",": ",": ",": ",": ",": ",": ",": ",": ",": ",": ",": ",": "
"EN5201V,LT002L1",": ",": ",": ",": ",": ",": ",": ","6.2 ",": ",": ",": ",": ",": ",": ",": ",": ",": ",": ",": ",": ",": ",": ",": ",": ",": ",": ",": ",": ",": ",": "
"EN5201V,LT003L1",": ",": ",": ",": ",": ",": ",": ","1.9 ",": ",": ",": ",": ",": ",": ",": ",": ",": ",": ",": ",": ",": ",": ",": ",": ",": ",": ",": ",": ",": ",": "
"EN5201V,LT004L0",": ",": ",": ",": ",": ",": ",": ","17.3 ",": ",": ",": ",": ",": ",": ",": ",": ",": ",": ",": ",": ",": ",": ",": ",": ",": ",": ",": ",": ",": ",": "
"EN5201V,LT501L0",": ",": ",": ",": ",": ",": ",": ","11.2 ",": ",": ",": ",": ",": ",": ",": ",": ",": ",": ",": ",": ",": ",": ",": ",": ",": ",": ",": ",": ",": ",": "
"EN5201V,LT502L0",": ",": ",": ",": ",": ",": ",": ","17.0 ",": ",": ",": ",": ",": ",": ",": ",": ",": ",": ",": ",": ",": ",": ",": ",": ",": ",": ",": ",": ",": ",": "
"EN5201V,LU001L1",": ",": ",": ",": ",": ",": ",": ","4.7 ",": ",": ",": ",": ",": ",": ",": ",": ",": ",": ",": ",": ",": ",": ",": ",": ",": ",": ",": ",": ",": ",": "
"EN5201V,LV001L1",": ",": ",": ",": ",": ",": ",": ","17.8 ",": ",": ",": ",": ",": ",": ",": ",": ",": ",": ",": ",": ",": ",": ",": ",": ",": ",": ",": ",": ",": ",": "
"EN5201V,LV002L2",": ",": ",": ",": ",": ",": ",": ","1.2 ",": ",": ",": ",": ",": ",": ",": ",": ",": ",": ",": ",": ",": ",": ",": ",": ",": ",": ",": ",": ",": ",": "
"EN5201V,LV003L1",": ",": ",": ",": ",": ",": ",": ","2.6 ",": ",": ",": ",": ",": ",": ",": ",": ",": ",": ",": ",": ",": ",": ",": ",": ",": ",": ",": ",": ",": ",": "
"EN5201V,NL002L3",": ",": ",": ",": ",": ",": ",": ","8.5 ",": ",": ",": ",": ",": ",": ",": ",": ",": ",": ",": ",": ",": ",": ",": ",": ",": ",": ",": ",": ",": ",": "
"EN5201V,NL006L3",": ",": ",": ",": ",": ",": ",": ","9.3 ",": ",": ",": ",": ",": ",": ",": ",": ",": ",": ",": ",": ",": ",": ",": ",": ",": ",": ",": ",": ",": ",": "
"EN5201V,NL008L3",": ",": ",": ",": ",": ",": ",": ","8.0 ",": ",": ",": ",": ",": ",": ",": ",": ",": ",": ",": ",": ",": ",": ",": ",": ",": ",": ",": ",": ",": ",": "
"EN5201V,NL009L3",": ",": ",": ",": ",": ",": ",": ","9.9 ",": ",": ",": ",": ",": ",": ",": ",": ",": ",": ",": ",": ",": ",": ",": ",": ",": ",": ",": ",": ",": ",": "
"EN5201V,NL010L3",": ",": ",": ",": ",": ",": ",": ","10.4 ",": ",": ",": ",": ",": ",": ",": ",": ",": ",": ",": ",": ",": ",": ",": ",": ",": ",": ",": ",": ",": ",": "
"EN5201V,NL012L3",": ",": ",": ",": ",": ",": ",": ","9.2 ",": ",": ",": ",": ",": ",": ",": ",": ",": ",": ",": ",": ",": ",": ",": ",": ",": ",": ",": ",": ",": ",": "
"EN5201V,NL013L3",": ",": ",": ",": ",": ",": ",": ","11.8 ",": ",": ",": ",": ",": ",": ",": ",": ",": ",": ",": ",": ",": ",": ",": ",": ",": ",": ",": ",": ",": ",": "
"EN5201V,NL014L3",": ",": ",": ",": ",": ",": ",": ","7.9 ",": ",": ",": ",": ",": ",": ",": ",": ",": ",": ",": ",": ",": ",": ",": ",": ",": ",": ",": ",": ",": ",": "
"EN5201V,NL015L3",": ",": ",": ",": ",": ",": ",": ","5.0 ",": ",": ",": ",": ",": ",": ",": ",": ",": ",": ",": ",": ",": ",": ",": ",": ",": ",": ",": ",": ",": ",": "
"EN5201V,NL016L3",": ",": ",": ",": ",": ",": ",": ","15.2 ",": ",": ",": ",": ",": ",": ",": ",": ",": ",": ",": ",": ",": ",": ",": ",": ",": ",": ",": ",": ",": ",": "
"EN5201V,NL018L3",": ",": ",": ",": ",": ",": ",": ","13.7 ",": ",": ",": ",": ",": ",": ",": ",": ",": ",": ",": ",": ",": ",": ",": ",": ",": ",": ",": ",": ",": ",": "
"EN5201V,NL020L3",": ",": ",": ",": ",": ",": ",": ","9.4 ",": ",": ",": ",": ",": ",": ",": ",": ",": ",": ",": ",": ",": ",": ",": ",": ",": ",": ",": ",": ",": ",": "
"EN5201V,NL026L0",": ",": ",": ",": ",": ",": ",": ","10.7 ",": ",": ",": ",": ",": ",": ",": ",": ",": ",": ",": ",": ",": ",": ",": ",": ",": ",": ",": ",": ",": ",": "
"EN5201V,NL028L3",": ",": ",": ",": ",": ",": ",": ","5.0 ",": ",": ",": ",": ",": ",": ",": ",": ",": ",": ",": ",": ",": ",": ",": ",": ",": ",": ",": ",": ",": ",": "
"EN5201V,NL030L0",": ",": ",": ",": ",": ",": ",": ","10.6 ",": ",": ",": ",": ",": ",": ",": ",": ",": ",": ",": ",": ",": ",": ",": ",": ",": ",": ",": ",": ",": ",": "
"EN5201V,NL503L3",": ",": ",": ",": ",": ",": ",": ","10.6 ",": ",": ",": ",": ",": ",": ",": ",": ",": ",": ",": ",": ",": ",": ",": ",": ",": ",": ",": ",": ",": ",": "
"EN5201V,NL504L3",": ",": ",": ",": ",": ",": ",": ","15.8 ",": ",": ",": ",": ",": ",": ",": ",": ",": ",": ",": ",": ",": ",": ",": ",": ",": ",": ",": ",": ",": ",": "
"EN5201V,NL505L3",": ",": ",": ",": ",": ",": ",": ","11.6 ",": ",": ",": ",": ",": ",": ",": ",": ",": ",": ",": ",": ",": ",": ",": ",": ",": ",": ",": ",": ",": ",": "
"EN5201V,NL507L3",": ",": ",": ",": ",": ",": ",": ","16.7 ",": ",": ",": ",": ",": ",": ",": ",": ",": ",": ",": ",": ",": ",": ",": ",": ",": ",": ",": ",": ",": ",": "
"EN5201V,NL511L3",": ",": ",": ",": ",": ",": ",": ","6.9 ",": ",": ",": ",": ",": ",": ",": ",": ",": ",": ",": ",": ",": ",": ",": ",": ",": ",": ",": ",": ",": ",": "
"EN5201V,NL512L3",": ",": ",": ",": ",": ",": ",": ","7.2 ",": ",": ",": ",": ",": ",": ",": ",": ",": ",": ",": ",": ",": ",": ",": ",": ",": ",": ",": ",": ",": ",": "
"EN5201V,NL513L3",": ",": ",": ",": ",": ",": ",": ","7.8 ",": ",": ",": ",": ",": ",": ",": ",": ",": ",": ",": ",": ",": ",": ",": ",": ",": ",": ",": ",": ",": ",": "
"EN5201V,NL514L3",": ",": ",": ",": ",": ",": ",": ","12.7 ",": ",": ",": ",": ",": ",": ",": ",": ",": ",": ",": ",": ",": ",": ",": ",": ",": ",": ",": ",": ",": ",": "
"EN5201V,NL515L3",": ",": ",": ",": ",": ",": ",": ","6.7 ",": ",": ",": ",": ",": ",": ",": ",": ",": ",": ",": ",": ",": ",": ",": ",": ",": ",": ",": ",": ",": ",": "
"EN5201V,NL519L3",": ",": ",": ",": ",": ",": ",": ","8.7 ",": ",": ",": ",": ",": ",": ",": ",": ",": ",": ",": ",": ",": ",": ",": ",": ",": ",": ",": ",": ",": ",": "
"EN5201V,PL002L2",": ",": ",": ",": ",": ",": ",": ","8.9 ",": ",": ",": ",": ",": ",": ",": ",": ",": ",": ",": ",": ",": ",": ",": ",": ",": ",": ",": ",": ",": ",": "
"EN5201V,PL004L2",": ",": ",": ",": ",": ",": ",": ","4.3 ",": ",": ",": ",": ",": ",": ",": ",": ",": ",": ",": ",": ",": ",": ",": ",": ",": ",": ",": ",": ",": ",": "
"EN5201V,PL006L2",": ",": ",": ",": ",": ",": ",": ","5.6 ",": ",": ",": ",": ",": ",": ",": ",": ",": ",": ",": ",": ",": ",": ",": ",": ",": ",": ",": ",": ",": ",": "
"EN5201V,PL007L2",": ",": ",": ",": ",": ",": ",": ","4.1 ",": ",": ",": ",": ",": ",": ",": ",": ",": ",": ",": ",": ",": ",": ",": ",": ",": ",": ",": ",": ",": ",": "
"EN5201V,PL014L2",": ",": ",": ",": ",": ",": ",": ","2.6 ",": ",": ",": ",": ",": ",": ",": ",": ",": ",": ",": ",": ",": ",": ",": ",": ",": ",": ",": ",": ",": ",": "
"EN5201V,PL017L2",": ",": ",": ",": ",": ",": ",": ","3.7 ",": ",": ",": ",": ",": ",": ",": ",": ",": ",": ",": ",": ",": ",": ",": ",": ",": ",": ",": ",": ",": ",": "
"EN5201V,PL025L2",": ",": ",": ",": ",": ",": ",": ","6.8 ",": ",": ",": ",": ",": ",": ",": ",": ",": ",": ",": ",": ",": ",": ",": ",": ",": ",": ",": ",": ",": ",": "
"EN5201V,PL026L2",": ",": ",": ",": ",": ",": ",": ","4.8 ",": ",": ",": ",": ",": ",": ",": ",": ",": ",": ",": ",": ",": ",": ",": ",": ",": ",": ",": ",": ",": ",": "
"EN5201V,PL027L2",": ",": ",": ",": ",": ",": ",": ","3.8 ",": ",": ",": ",": ",": ",": ",": ",": ",": ",": ",": ",": ",": ",": ",": ",": ",": ",": ",": ",": ",": ",": "
"EN5201V,PL028L2",": ",": ",": ",": ",": ",": ",": ","2.3 ",": ",": ",": ",": ",": ",": ",": ",": ",": ",": ",": ",": ",": ",": ",": ",": ",": ",": ",": ",": ",": ",": "
"EN5201V,PL030L1",": ",": ",": ",": ",": ",": ",": ","11.8 ",": ",": ",": ",": ",": ",": ",": ",": ",": ",": ",": ",": ",": ",": ",": ",": ",": ",": ",": ",": ",": ",": "
"EN5201V,PL032L1",": ",": ",": ",": ",": ",": ",": ","6.9 ",": ",": ",": ",": ",": ",": ",": ",": ",": ",": ",": ",": ",": ",": ",": ",": ",": ",": ",": ",": ",": ",": "
"EN5201V,PL036L1",": ",": ",": ",": ",": ",": ",": ","5.2 ",": ",": ",": ",": ",": ",": ",": ",": ",": ",": ",": ",": ",": ",": ",": ",": ",": ",": ",": ",": ",": ",": "
"EN5201V,PL038L1",": ",": ",": ",": ",": ",": ",": ","2.1 ",": ",": ",": ",": ",": ",": ",": ",": ",": ",": ",": ",": ",": ",": ",": ",": ",": ",": ",": ",": ",": ",": "
"EN5201V,PL040L1",": ",": ",": ",": ",": ",": ",": ","4.4 ",": ",": ",": ",": ",": ",": ",": ",": ",": ",": ",": ",": ",": ",": ",": ",": ",": ",": ",": ",": ",": ",": "
"EN5201V,PL041L1",": ",": ",": ",": ",": ",": ",": ","6.1 ",": ",": ",": ",": ",": ",": ",": ",": ",": ",": ",": ",": ",": ",": ",": ",": ",": ",": ",": ",": ",": ",": "
"EN5201V,PL043L1",": ",": ",": ",": ",": ",": ",": ","7.0 ",": ",": ",": ",": ",": ",": ",": ",": ",": ",": ",": ",": ",": ",": ",": ",": ",": ",": ",": ",": ",": ",": "
"EN5201V,PL047L1",": ",": ",": ",": ",": ",": ",": ","3.5 ",": ",": ",": ",": ",": ",": ",": ",": ",": ",": ",": ",": ",": ",": ",": ",": ",": ",": ",": ",": ",": ",": "
"EN5201V,PL508L1",": ",": ",": ",": ",": ",": ",": ","16.1 ",": ",": ",": ",": ",": ",": ",": ",": ",": ",": ",": ",": ",": ",": ",": ",": ",": ",": ",": ",": ",": ",": "
"EN5201V,PL512L2",": ",": ",": ",": ",": ",": ",": ","3.7 ",": ",": ",": ",": ",": ",": ",": ",": ",": ",": ",": ",": ",": ",": ",": ",": ",": ",": ",": ",": ",": ",": "
"EN5201V,RO001L1",": ",": ",": ",": ",": ",": ",": ","4.1 ",": ",": ",": ",": ",": ",": ",": ",": ",": ",": ",": ",": ",": ",": ",": ",": ",": ",": ",": ",": ",": ",": "
"EN5201V,RO002L1",": ",": ",": ",": ",": ",": ",": ","4.2 ",": ",": ",": ",": ",": ",": ",": ",": ",": ",": ",": ",": ",": ",": ",": ",": ",": ",": ",": ",": ",": ",": "
"EN5201V,RO003L1",": ",": ",": ",": ",": ",": ",": ","10.4 ",": ",": ",": ",": ",": ",": ",": ",": ",": ",": ",": ",": ",": ",": ",": ",": ",": ",": ",": ",": ",": ",": "
